class;name;compo;mz;std;
GluCer;C49H95NO8;HexCer 43:1_O2;826.713;no;
GluCer;C50H95NO8;HexCer 44:2_O2;838.713;no;
GluCer;C50H97NO8;HexCer 44:1_O2;840.7287;no;
LacCer;C42H79NO13;Hex2Cer 30:1_O2;806.5624;no;
LacCer;C41H79NO14;Hex2Cer 29:0_O3;810.5573;no;
LacCer;C44H83NO13;Hex2Cer 32:1_O2;834.5937;no;
LacCer;C45H85NO13;Hex2Cer 33:1_O2;848.6094;no;
LacCer;C46H85NO13;Hex2Cer 34:2_O2;860.6094;no;
LacCer;C46H87NO13;Hex2Cer 34:1_O2;862.625;no;
LacCer;C47H89NO13;Hex2Cer 35:1_O2;876.6407;no;
LacCer;C48H89NO13;Hex2Cer 36:2_O2;888.6407;no;
LacCer;C48H91NO13;Hex2Cer 36:1_O2;890.6563;no;
LacCer;C48H93NO13;Hex2Cer 36:0_O2;892.672;no;
LacCer;C49H93NO13;Hex2Cer 37:1_O2;904.672;no;
LacCer;C50H93NO13;Hex2Cer 38:2_O2;916.672;no;
LacCer;C50H95NO13;Hex2Cer 38:1_O2;918.6876;no;
LacCer;C50H97NO13;Hex2Cer 38:0_O2;920.7033;no;
LacCer;C51H95NO13;Hex2Cer 39:2_O2;930.6876;no;
LacCer;C51H97NO13;Hex2Cer 39:1_O2;932.7033;no;
LacCer;C51H99NO13;Hex2Cer 39:0_O2;934.7189;no;
LacCer;C52H95NO13;Hex2Cer 40:3_O2;942.6876;no;
LacCer;C52H97NO13;Hex2Cer 40:2_O2;944.7033;no;
LacCer;C52H99NO13;Hex2Cer 40:1_O2;946.7189;no;
LacCer;C53H99NO13;Hex2Cer 41:2_O2;958.7189;no;
LacCer;C53H101NO13;Hex2Cer 41:1_O2;960.7346;no;
LacCer;C54H99NO13;Hex2Cer 42:3_O2;970.7189;no;
LacCer;C54H101NO13;Hex2Cer 42:2_O2;972.7346;no;
LacCer;C54H103NO13;Hex2Cer 42:1_O2;974.7502;no;
LacCer;C55H103NO13;Hex2Cer 43:2_O2;986.7502;no;
Lyso GPCho;C22H44NO7P;LPC 14:1;466.2928;no;
Lyso GPCho;C22H46NO7P;LPC 14:0;468.3085;no;
Lyso GPCho;C23H48NO7P;LPC 15:0;482.3241;no;
Lyso GPCho;C24H48NO7P;LPC 16:1;494.3241;no;
Lyso GPCho;C24H50NO7P;LPC 16:0;496.3398;no;
Lyso GPCho;C25H50NO7P;LPC 17:1;508.3398;no;
Lyso GPCho;C25H52NO7P;LPC 17:0;510.3554;no;
Lyso GPCho;C26H50NO7P;LPC 18:2;520.3398;no;
Lyso GPCho;C26H52NO7P;LPC 18:1;522.3554;no;
Lyso GPCho;C26H54NO7P;LPC 18:0;524.3711;no;
Lyso GPCho;C27H54NO7P;LPC 19:1;536.3711;no;
Lyso GPCho;C27H56NO7P;LPC 19:0;538.3867;no;
Lyso GPCho;C28H48NO7P;LPC 20:5;542.3241;no;
Lyso GPCho;C28H50NO7P;LPC 20:4;544.3398;no;
Lyso GPCho;C28H52NO7P;LPC 20:3;546.3554;no;
Lyso GPCho;C28H54NO7P;LPC 20:2;548.3711;no;
